OBJECTID,CD_GEOCODI,NM_BAIRRO,NM_SUBDIST,NM_DISTRIT,INDIC_AGUA_ADEQUADA,INDIC_ESGOTO_ADEQUADO,INDIC_LIXO_ADEQUADO,INDIC_MEDBANH_PES,INDIC_ANALFAB_10A14,INDIC_RENDARESP_POS_SM,INDIC_RENDARESP_POS_ATE2SM,INDIC_RENDARESP_P_MAISDE10SM,I_AGUA_ADEQUADA,I_ESGOTO_ADEQUADO,I_LIXO_ADEQUADO,I_MEDBANH_PES,I_ANALFAB_10A14,I_RENDARESP_POS_SM,I_RENDARESP_POS_ATE2SM,I_RENDARESP_P_MAISDE10SM,IDS
15284,330455705220388,Senador Camará,BANGU,RIO DE JANEIRO,99.46236559,91.66666667,100,0.50140845,2.77777778,3.04687582,54.33333333,3.33333333,0.99462366,0.91666667,1,0.22777625,0.9537037,0.03480485,0.45666667,0.0359375,0.57752241
15285,330455705220389,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.4,0,1.90505676,74.73684211,0,1,1,1,0.18170915,1,0.01793218,0.25263158,0,0.55653411
15286,330455705220390,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.30167598,6.66666667,1.67093546,81.25,1.04166667,1,1,1,0.13704321,0.88888889,0.01447257,0.1875,0.01123047,0.52989189
15287,330455705220391,Senador Camará,BANGU,RIO DE JANEIRO,100,99.20634921,100,0.42189586,0,1.66054396,79.35483871,0,1,0.99206349,1,0.19165584,1,0.01431901,0.20645161,0,0.55056124
15288,330455705220392,Senador Camará,BANGU,RIO DE JANEIRO,100,74.59016393,100,0.40343915,3.27868852,1.63260374,83.25581395,0,1,0.74590164,1,0.18327146,0.94535519,0.01390614,0.16744186,0,0.50698454
15289,330455705220393,Senador Camará,BANGU,RIO DE JANEIRO,100,38.96713615,100,0.3765625,9.83606557,1.37077871,89.71428571,0,1,0.38967136,1,0.17106213,0.83606557,0.01003715,0.10285714,0,0.43871167
15290,330455705220394,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.41613588,2.77777778,2.26112045,65,0.71428571,1,1,1,0.18903924,0.9537037,0.02319374,0.35,0.00770089,0.5654547
15291,330455705220395,Senador Camará,BANGU,RIO DE JANEIRO,98.5,90.5,77,0.37420382,5.08474576,1.31543963,87.42138365,0,0.985,0.905,0.77,0.16999064,0.91525424,0.0092194,0.12578616,0,0.48503131
15292,330455705220396,Senador Camará,BANGU,RIO DE JANEIRO,100,99.28315412,100,0.62395543,0,3.95105248,30.14705882,3.67647059,1,0.99283154,1,0.28344602,1,0.04816588,0.69852941,0.03963695,0.63282622
15293,330455705220397,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.6028777,2.12765957,5.29408923,20.77294686,8.21256039,1,1,1,0.27387098,0.96453901,0.06801194,0.79227053,0.08854167,0.64840427
15294,330455705220398,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.46567718,0,4.28239651,26.66666667,3.88888889,1,1,1,0.21154451,1,0.05306215,0.73333333,0.04192708,0.62998338
15295,330455705220399,Senador Camará,BANGU,RIO DE JANEIRO,100,92.15686275,100,0.65497076,0,6.08692013,19.91869919,13.00813008,1,0.92156863,1,0.29753544,1,0.07972761,0.80081301,0.1402439,0.65498607
15296,330455705220400,Senador Camará,BANGU,RIO DE JANEIRO,99.61832061,93.51145038,100,0.58371041,0,6.1051246,16.73306773,13.54581673,0.99618321,0.9351145,1,0.2651638,1,0.07999662,0.83266932,0.14604084,0.65689604
15297,330455705220401,Senador Camará,BANGU,RIO DE JANEIRO,100,99.10979228,100,0.54883227,1.5625,4.00159926,37.1875,5.3125,1,0.99109792,1,0.24931961,0.97395833,0.04891281,0.628125,0.05727539,0.61858613
15298,330455705220402,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.45425532,0,3.54846138,52.66903915,5.69395018,1,1,1,0.20635586,1,0.04221678,0.47330961,0.0613879,0.59790877
15299,330455705220403,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.36008448,3.26086957,1.39193436,87.23404255,0,1,1,1,0.16357661,0.94565217,0.01034977,0.12765957,0,0.53090477
15300,330455705220404,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.31213873,4.16666667,1.19582018,92.68292683,0,1,1,1,0.14179615,0.93055556,0.00745179,0.07317073,0,0.51912178
15301,330455705220405,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.33766234,3.125,1.26552585,91.63636364,0,1,1,1,0.15339084,0.94791667,0.00848183,0.08363636,0,0.52417821
15302,330455705220406,Senador Camará,BANGU,RIO DE JANEIRO,100,99.63369963,100,0.31291028,1.83486239,1.18759639,93.25842697,0,1,0.996337,1,0.14214665,0.96941896,0.00733026,0.06741573,0,0.52283108
15303,330455705220407,Senador Camará,BANGU,RIO DE JANEIRO,100,92.39766082,100,0.02992958,2.5974026,1.13322638,96.36363636,0,1,0.92397661,1,0.01359619,0.95670996,0.00652684,0.03636364,0,0.49214665
15304,330455705220408,Senador Camará,BANGU,RIO DE JANEIRO,100,99.38271605,100,0.32621359,0,1.38168482,88.14814815,0,1,0.99382716,1,0.14818998,1,0.01019831,0.11851852,0,0.53384175
15305,330455705220409,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.39446367,0,1.93385236,78.67647059,1.47058824,1,1,1,0.17919414,1,0.01835769,0.21323529,0.01585478,0.55333024
15306,330455705220410,Senador Camará,BANGU,RIO DE JANEIRO,100,99.64788732,100,0.33883388,2.27272727,1.23963894,89.86784141,0,1,0.99647887,1,0.15392304,0.96212121,0.0080993,0.10132159,0,0.527743
15307,330455705220411,Senador Camará,BANGU,RIO DE JANEIRO,100,96.53179191,100,0.40304183,10,1.5856971,83.43558282,0,1,0.96531792,1,0.18309096,0.83333333,0.013213,0.16564417,0,0.52007492
15308,330455705220412,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.41707317,3.57142857,1.85915793,75.19379845,0.7751938,1,1,1,0.18946502,0.94047619,0.01725393,0.24806202,0.00835756,0.55045184
15309,330455705220413,Senador Camará,BANGU,RIO DE JANEIRO,100,98.37837838,100,0.36410256,1.69491525,1.39983968,86.16352201,0,1,0.98378378,1,0.16540191,0.97175141,0.01046658,0.13836478,0,0.53372106
15310,330455705220414,Senador Camará,BANGU,RIO DE JANEIRO,100,99.51923077,100,0.31994261,2.94117647,1.57734319,78.0104712,0,1,0.99519231,1,0.14534125,0.95098039,0.01308956,0.21989529,0,0.54056235
15311,330455705220415,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.40198864,3.22580645,1.57422826,82.56410256,0,1,1,1,0.18261253,0.94623656,0.01304353,0.17435897,0,0.53953145
15312,330455705220416,Senador Camará,BANGU,RIO DE JANEIRO,100,82.43902439,94.14634146,0.3968,5.88235294,1.51582948,82.02247191,0,1,0.82439024,0.94146341,0.18025547,0.90196078,0.01218057,0.17977528,0,0.50500322
15313,330455705220417,Senador Camará,BANGU,RIO DE JANEIRO,100,99.23076923,100,0.35294118,0,1.39023078,84.07079646,0,1,0.99230769,1,0.1603316,1,0.01032459,0.15929204,0,0.54028199
15314,330455705220418,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.34671533,0,1.3090737,89.65517241,0,1,1,1,0.15750337,1,0.00912533,0.10344828,0,0.53375962
15315,330455705220419,Senador Camará,BANGU,RIO DE JANEIRO,99.45054945,100,100,0.37847866,6.12244898,1.48390093,86.18421053,0,0.99450549,1,1,0.17193259,0.89795918,0.01170876,0.13815789,0,0.52678299
15316,330455705220420,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.35253456,0,1.69457577,76.63551402,0,1,1,1,0.16014689,1,0.0148219,0.23364486,0,0.55107671
15317,330455705220421,Senador Camará,BANGU,RIO DE JANEIRO,100,99.30555556,100,0.40918367,1.20481928,2.94465409,30.66037736,0,1,0.99305556,1,0.18588104,0.97991968,0.03329432,0.69339623,0,0.61069335
15318,330455705220422,Senador Camará,BANGU,RIO DE JANEIRO,100,99.04761905,100,0.37662338,1.88679245,2.12982895,68.08510638,1.06382979,1,0.99047619,1,0.17108978,0.96855346,0.02125364,0.31914894,0.01146941,0.56024893
15319,330455705220423,Senador Camará,BANGU,RIO DE JANEIRO,100,87.19512195,100,0.4618016,0,2.14209017,72.78911565,0.34013605,1,0.87195122,1,0.20978393,1,0.02143483,0.27210884,0.00366709,0.54736824
15320,330455705220424,Senador Camará,BANGU,RIO DE JANEIRO,100,42.85714286,100,0.34675615,0,2.04115256,71.34146341,1.2195122,1,0.42857143,1,0.15752191,1,0.01994327,0.28658537,0.01314787,0.48822123
15321,330455705220425,Senador Camará,BANGU,RIO DE JANEIRO,99.32432432,96.95945946,100,0.42520612,2.98507463,1.7805075,77.37556561,0,0.99324324,0.96959459,1,0.1931596,0.95024876,0.01609172,0.22624434,0,0.54357278
15322,330455705220426,Senador Camará,BANGU,RIO DE JANEIRO,100,12.75167785,100,0.4663626,0,3.44478045,41.1971831,3.16901408,1,0.12751678,1,0.21185587,1,0.04068469,0.58802817,0.03416593,0.50028143
15323,330455705220427,Senador Camará,BANGU,RIO DE JANEIRO,100,93.63636364,100,0.5,0,2.45393211,63.44086022,1.07526882,1,0.93636364,1,0.22713643,1,0.02604292,0.3655914,0.01159274,0.57084089
15324,330455705220428,Senador Camará,BANGU,RIO DE JANEIRO,99.5049505,100,99.5049505,0.32364096,0,2.20347685,59.27835052,0,0.9950495,1,0.9950495,0.14702131,1,0.02234194,0.40721649,0,0.57083484
15325,330455705220429,Senador Camará,BANGU,RIO DE JANEIRO,98.89298893,98.89298893,100,0.32838983,11.96581197,1.34885549,88.10572687,0,0.98892989,0.98892989,1,0.14917859,0.8005698,0.00971319,0.11894273,0,0.50703301
15326,330455705220430,Senador Camará,BANGU,RIO DE JANEIRO,99.63898917,99.27797834,98.91696751,0.36248416,1.5625,1.76684202,79.26829268,0.40650407,0.99638989,0.99277978,0.98916968,0.16466672,0.97395833,0.01588978,0.20731707,0.00438262,0.54306923
15327,330455705220431,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.33778234,0,1.4027971,88.53046595,0,1,1,1,0.15344535,1,0.01051029,0.11469534,0,0.53483137
15328,330455705220432,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.37082067,1.81818182,1.91651416,71.55555556,0,1,1,1,0.16845377,0.96969697,0.01810149,0.28444444,0,0.55508708
15329,330455705220433,Senador Camará,BANGU,RIO DE JANEIRO,100,99.49748744,100,0.32682927,1.66666667,1.45969499,86.5497076,0,1,0.99497487,1,0.14846967,0.97222222,0.01135107,0.13450292,0,0.53269009
15330,330455705220434,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.35275081,2.77777778,1.89373451,75.86206897,1.14942529,1,1,1,0.16024512,0.9537037,0.01776487,0.24137931,0.01239224,0.54818566
15331,330455705220435,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.36621315,3.79746835,1.61002179,82.22222222,0,1,1,1,0.1663607,0.93670886,0.01357245,0.17777778,0,0.53680247
15332,330455705220436,Senador Camará,BANGU,RIO DE JANEIRO,100,87.63636364,100,0.40291262,0,2.23845741,63.671875,0.390625,1,0.87636364,1,0.18303227,1,0.02285885,0.36328125,0.00421143,0.55621843
15333,330455705220437,Senador Camará,BANGU,RIO DE JANEIRO,100,100,100,0.44809461,0,2.74178105,57.08333333,0.41666667,1,1,1,0.20355722,1,0.03029646,0.42916667,0.00449219,0.58343907
15334,330455705220438,Senador Camará,BANGU,RIO DE JANEIRO,100,90.76086957,99.45652174,0.4220339,0,4.00052746,54.38596491,1.75438596,1,0.9076087,0.99456522,0.19171855,1,0.04889697,0.45614035,0.01891447,0.57723053
