id,title,type,owner,url,has_url,size,num_views,tags,year_created,year_modified,granularity_guess,themes_guess,snippet
6bf11f2aba7547ab9f76e4ed2a01d54e,"Número e distribuição percentual de matrículas em cursos de graduação presenciais, por organização acadêmica, segundo a categoria administrativa no Município do Rio de Janeiro, entre 2000-2022",Microsoft Excel,PrefeituraRio,,False,274944,182,Educação|Ensino superior,2018,2023,municipio,matricula|ensino_superior,"Em 2022 foram registradas 236.456 matrículas em cursos de graduação presenciais no Município do Rio de Janeiro, número menor que o registrado no ano anterior."
8c139f62fd464c65a38e9d201d509327,"Número de alunos matriculados na rede pública municipal por sexo e Coordenações Regionais de Educação (CRE) e matrícula inicial, no Município do Rio de Janeiro entre 1999-2013",Microsoft Excel,PrefeituraRio,,False,185856,77,Educação|Educação básica,2018,2023,cre,matricula|educacao_basica,A razão homem/mulher é maior na 10ª CRE
a810f5ac9243472f80d38ee4c9d8845d,"Educação de Jovens e Adultos: concluintes, segundo as Dependências Administrativas, entre 2000-2005",Microsoft Excel,PrefeituraRio,,False,17920,108,Educação|Educação básica,2018,2023,,educacao_basica,O Inep não divulga mais esta informação
6754397155a04352bcda5f3bf389e094,"Média de anos de estudo da população residente, segundo as Regiões Administrativas (RA) do Município do Rio de Janeiro - 2000",Microsoft Excel,PrefeituraRio,,False,33280,160,Educação|Escolaridade da população,2018,2023,ra,escolaridade,Não foi feita anotação
d1e1192de4854ee4b53095a6f3274018,"Educação Infantil (pré-escola), Ensino Fundamental, Educação Especial, Programa de Educação Jovens e Adultos (PEJ): turmas e alunos matriculados na rede pública municipal, segundo Coordenação Regional de Educação (CRE) e matrícula final, entre 1999-2012 ",Microsoft Excel,PrefeituraRio,,False,286720,66,Educação|Educação básica,2018,2023,escola,matricula|educacao_basica,Número de matrículas do Ens. Fundamental por série e projetos de correção de fluxo (matrícula final)
646b20dfbf944f21a036f3f50fd80424,"Educação Infantil: Creche - matrícula, por sexo e faixa etária, segundo as Dependências Administrativas, entre 2007-2020",Microsoft Excel,PrefeituraRio,,False,47104,172,Educação|Educação básica,2018,2023,escola,matricula|censo_escolar|docentes|educacao_basica,"Os microdados do Censo Escolar divulgados pelo Inep passaram por uma adequação com o objetivo de garantir privacidade de dados pessoais. A partir de janeiro de 2022, o formato de divulgação impossibilita a identificação de alunos e professores."
0f6d773c93654593a5a73d7ac8b66819,"Educação Infantil e  Ensino fundamental: docentes por categoria funcional na rede pública municipal, segundo as Coordenações Regionais de Educação (CRE), entre 2005-2008",Microsoft Excel,PrefeituraRio,,False,20480,65,Educação|Educação básica,2018,2019,cre,docentes|educacao_basica,Não temos dados sobre professor
bba0d7d3c31c4cfd8a6940cc283d52cc,"Matrículas na rede municipal de educação, por níveis de ensino, segundo as Áreas de Planejamento (AP), Regiões Administrativas (RA) e Bairros no Município do Rio de Janeiro entre 2010-2013",Microsoft Excel,PrefeituraRio,,False,295424,435,Educação|Educação básica,2018,2023,bairro,matricula|educacao_basica,Número de matrículas por bairro e RA
fcc6f32c9ed346af8449e258594bcda6,"Estudantes de 5 anos ou mais de idade, por grau, duração do curso e série que frequentavam, segundo a idade, no Município do Rio de Janeiro em 2008/2009",Microsoft Excel,PrefeituraRio,,False,47104,98,Educação|Escolaridade da população,2018,2023,municipio,escolaridade,"Estudantes de 5 anos ou mais de idade, por grau, duração do curso e série que frequentavam."
069f8afac36c456cbb13e845595e1331,"Taxa de alfabetização das pessoas de 10 anos ou mais de idade por sexo, segundo Regiões Administrativas (RA) e Bairros no Município do Rio de Janeiro - 2010",Microsoft Excel,PrefeituraRio,,False,42496,196,Educação|Escolaridade da população,2018,2023,bairro,escolaridade,Embora a taxa de alfabetização masculina seja ligeiramente maior do que a feminina para o município a AP 1 demonstra pequena inversão desta relação.
ebcf102e74484fb2bc445d6129d32d39,"Educação Especial: matrícula, por tipo de excepcionalidade, segundo as Dependências Administrativas, entre 1999-2002",Microsoft Excel,PrefeituraRio,,False,23552,56,Educação|Educação básica,2018,2023,,matricula|educacao_basica,"Educação Especial: matrícula, por tipo de excepcionalidade,"
bbf87f279e0146beb31fd6f432ac4948,"Número e proporção da população de 10 anos ou mais,  por grupo de anos de estudo, segundo as Regiões Administrativas (RA) do Município do Rio de Janeiro - 2000",Microsoft Excel,PrefeituraRio,,False,48128,103,Educação|Escolaridade da população,2018,2023,ra,escolaridade,Não foi feita anotação
126a4fb5bc6a4882aca19917f27957eb,"Número de matrículas do ensino médio, por sexo, série e não-seriado, segundo as Dependências Administrativas, entre 1999-2020",Microsoft Excel,PrefeituraRio,,False,47104,261,Educação|Ensino médio,2018,2023,escola,matricula|censo_escolar|docentes|ensino_medio,"Os microdados do Censo Escolar divulgados pelo Inep passaram por uma adequação com o objetivo de garantir privacidade de dados pessoais. A partir de janeiro de 2022, o formato de divulgação impossibilita a identificação de alunos e professores."
68e95cb371fb4db38ecae841dd693a8e,"Número e distribuição percentual de cursos de graduação presenciais, por organização acadêmica, segundo a categoria administrativa no Município do Rio de Janeiro, entre 2000-2022",Microsoft Excel,PrefeituraRio,,False,284672,110,Educação|Ensino superior,2018,2023,municipio,ensino_superior,"Em 2022 foram registrados 1.341 cursos de graduação presenciais no Município do Rio de Janeiro, apresentando um aumento em relação ao ano anterior."
b0efdf51cf5644c985eb9b3b78c59f13,"Ensino Médio: matrículas e concluintes, por sexo, segundo as Dependências Administrativas, entre 2000-2005",Microsoft Excel,PrefeituraRio,,False,23040,166,Educação|Ensino médio,2018,2023,,matricula|ensino_medio,"matrículas e concluintes, por sexo, segundo as Dependências Administrativas."
2052c5f289fc4a4da00e62b04f38d400,"Educação Infantil e Pré-escola: matrícula, por sexo e faixa etária, segundo as Dependências Administrativas, entre 1999-2006",Microsoft Excel,PrefeituraRio,,False,20480,233,Educação|Educação básica,2018,2023,escola,matricula|educacao_basica,Igual a 1760
5260a891ea8b446d8707b8a11eb8a1f6,"Educação Especial: docentes, por grau de formação, segundo as Dependências Administrativas, entre 1999-2006",Microsoft Excel,PrefeituraRio,,False,24064,78,Educação|Educação básica,2018,2023,,docentes|educacao_basica,"docentes, por grau de formação, segundo as Dependências Administrativas."
404a14dd713f441f8321b5dfd0544cd7,"Ensino Fundamental: matrículas na rede pública municipal, independente da idade, sobre o total de pessoas de 7 a 14 anos residentes no Município do Rio de Janeiro - 1992-2006",Microsoft Excel,PrefeituraRio,,False,19456,36,Educação|Educação básica,2018,2023,municipio,matricula|educacao_basica,Não foi feita anotação
450e2d32fabe43c2840e0859d0546d2b,"Ensino Fundamental Regular - IDEB de rede pública municipal: séries iniciais (1º ao 5º ano) - taxa de aprovação, nota média padronizada do SAEB e IDEB por municípios das capitais selecionadas entre 2005 - 2021",Microsoft Excel,PrefeituraRio,,False,36864,296,Educação|Educação básica,2018,2022,municipio,ideb_avaliacao|educacao_basica,"O IDEB dos anos iniciais da Cidade do Rio de Janeiro diminuiu de 5,8 em 2019 para 5,4 em 2021."
6e09b9320b3b419aa26b310b72d5bb71,"Ensino Fundamental - Número de escolas e dependências físicas existentes, segundo a dependência administrativa no Município do Rio de Janeiro, entre 2000-2022",Microsoft Excel,PrefeituraRio,,False,24576,385,Educação|Educação básica,2018,2023,escola,infraestrutura|educacao_basica,"Em 2022, das 1.005 escolas municipais de ensino fundamental, 397 possuíam biblioteca, 730 tinham quadra de esportes e 1.001 tinham acesso à internet."
4ca27463d9ac4b51a58d5e0ef33d7647,Cidade do Rio de Janeiro - Panorama,Web Mapping Application,PrefeituraRio,https://cidades.ibge.gov.br/brasil/rj/rio-de-janeiro/panorama,True,0,638,PCRJ|Rio de Janeiro,2018,2019,municipio,,Cidade do Rio de Janeiro - Panorama
85846019d9594d9fbf85d623216bceb6,Armazenzinho,Web Mapping Application,PrefeituraRio,https://siurblab.rio.rj.gov.br/armazenzinho/,True,0,354,Armazenzinho|Educação|Histórias do Rio|Conhecendo o Rio|Geografia do Rio,2019,2023,municipio,,"Módulo do DATA.RIO com informações geográficas, históricas e gerais da cidade do Rio. Voltado para o público infanto juvenil."
80c4a2e4cea34be59c9164a8d30474a7,"Turno Único nas Escolas Municipais da Cidade do Rio de Janeiro: Caracterização, Percepções e Avaliação de Impacto (Dezembro/2020)",PDF,PrefeituraRio,,False,14338219,512,TU,2020,2023,escola,ideb_avaliacao,
d898f68da260460d900a9ef7bf8f6ead,Índice de Progresso Social,Hub Site Application,pesquisa_ctpe,https://ips-rio-pcrj.hub.arcgis.com,True,4887139,185107,IPS|Índice de Progresso Social|índice|indicadores,2021,2023,,ips_ids,O Índice de Progresso Social (IPS) é uma abordagem direta de mensuração do desenvolvimento humano a partir de indicadores selecionados em três dimensões e doze componentes definidos globalmente.
0afd8c122fb4400b847693e715106304,Índice de Desenvolvimento Social (IDS) - Região Metropolitana do RJ (2010),Feature Service,PrefeituraRio,https://services1.arcgis.com/OlP4dGNtIcnD3RYf/ArcGIS/rest/services/IDS_RM_2010/FeatureServer/0,True,94,17662,Desenvolvimento e Assistência Social|IDS|Censo 2010|IPP|Índice|setores censitários|setor censitário,2022,2023,,censo_demografico|ips_ids,"Índice de Desenvolvimento Social da Região Metropolitana do Rio de Janeiro, calculado pelo IPP a partir dos dados do Censo Demográfico 2010 do IBGE."
52b6bd003abf4b8995ec9860e65a82c5,Administração de Serviços Públicos: Chamados feitos ao 1746,Document Link,escritorio_dados,https://prefeitura-rio.github.io/queries-datario/pages/404?prefix=administração-de-serviços-públicos-chamados-feitos-ao-1746,True,40,488,datario|escritorio_de_dados|datalake|administracao_servicos_publicos|chamado_1746|bairro|administração pública|ocorrência|1746|SEGOVI,2022,2024,bairro,,Chamados feitos ao 1746.
6409ea499d474bfeb4063cfc31203403,Transporte Rodoviário: Histórico de GPS dos ônibus (SPPO),Document Link,escritorio_dados,https://prefeitura-rio.github.io/queries-datario/pages/404?prefix=transporte-rodoviário-histórico-de-gps-dos-ônibus-sppo,True,40,474,datario|escritorio_de_dados|datalake|transporte_rodoviario_municipal|gps_onibus|mobilidade,2022,2025,,transporte,Dados históricos de posição geográfica de veículos do SPPO (ônibus).
918dd39478594792a9cfa7080b84c0b5,Base de dados do Índice de Progresso Social - IPS por Regiões Administrativas (RA) - Município do Rio de Janeiro - 2016/2018/2020/2022/2024,Microsoft Excel,PrefeituraRio,,False,848416,1403,Desenvolvimento e Assistência Social|IPS|Índice de Progresso Social|IPS Rio,2022,2024,ra,ips_ids,O Índice de Progresso Social (IPS) é uma abordagem direta de mensuração do desenvolvimento humano a partir de indicadores selecionados em três dimensões e doze componentes. Esse arquivo é a base de dados completa por Região Administrativa.
2e5836a3c1714943ad664b0bae1bc359,Transporte Rodoviário: Viagens dos ônibus identificadas por GPS,Document Link,escritorio_dados,https://prefeitura-rio.github.io/queries-datario/pages/404?prefix=transporte-rodoviário-viagens-dos-ônibus-identificadas-por-gps,True,117,785,datario|escritorio_de_dados|datalake|transporte_rodoviario_municipal|viagem_onibus|transporte|ônibus|SPPO|GPS,2023,2025,,transporte,Detalhes de todas as viagens identificadas por GPS.
eb63f575dc25425e87aea20d3c6a4f6d,Transporte Rodoviário: Viagens dos ônibus identificadas por GPS,Document Link,escritorio_dados,https://prefeitura-rio.github.io/queries-datario/pages/404?prefix=transporte-rodoviário-viagens-dos-ônibus-identificadas-por-gps,True,128,435,datario|escritorio_de_dados|datalake|transporte_rodoviario_municipal|viagem_onibus|transporte|ônibus|SPPO|GPS,2023,2025,,transporte,Detalhes de todas as viagens identificadas por GPS.
7001b082c7174c539bfbf4e8b34c682c,Painel.RIO,Document Link,PrefeituraRio,https://painel.rio,True,18,2151,Painel.Rio|Rio em Síntese|Indicadores|Resiliência|Sustentabilidade|Desenvolvimento sustentável|Painel Rio,2024,2024,,,"O Painel.Rio é dedicado à apresentação, acompanhamento e análise de indicadores de resiliência e visa alinhar o Rio de Janeiro às melhores práticas internacionais em resiliência urbana e desenvolvimento sutentável, substituindo a seçao Rio em Síntese do DATA.RIO."
5a7061d49e894343ad5b1f84c94d2a72,Cadernos do Rio - Prévias do Censo: Sexo e Idade (Dezembro/2024),PDF,PrefeituraRio,,False,3847688,565,censo 2022|cadernos do rio|sexo|idade|faixa etária|jovens|adultos|idosos|crianças|envelhecimento|população|saúde|4055|prévias do censo|terceira idade,2024,2025,,censo_demografico,"PARA DOWNLOAD EM DISPOSITIVO MÓVEL GIRE A TELA PARA O MODO PAISAGEM E CLIQUE EM ""BAIXAR""."
18bc0480d7a84464b2ace33b19a5c558,Cadernos do Rio - Prévias do Censo: Cor ou Raça (Dezembro/2024),PDF,PrefeituraRio,,False,4494998,485,censo 2022|cadernos do rio|cor ou raça|cor|raça|igualdade racial|sexo|idade|faixa etária|jovens|adultos|idosos|crianças|envelhecimento|população|saúde|4056|prévias do censo|terceira idade,2024,2025,,censo_demografico,"PARA DOWNLOAD EM DISPOSITIVO MÓVEL GIRE A TELA PARA O MODO PAISAGEM E CLIQUE EM ""BAIXAR""."
756b6f71c5f849dd976836079eb2cac2,Cadernos do Rio - Prévias do Censo: Dinâmica Demográfica dos Bairros (Dezembro/2024),PDF,PrefeituraRio,,False,5180298,872,urbanismo|população|habitação|dinâmica demográfica|censo 2022|demografia|bairros|cadernos do rio|crescimento populacional|queda populacional|dinâmica urbana|Dinâmica Imobiliária|4057|prévias do censo|Habitação e Urbanismo,2024,2025,bairro,censo_demografico,"PARA DOWNLOAD EM DISPOSITIVO MÓVEL GIRE A TELA PARA O MODO PAISAGEM E CLIQUE EM ""BAIXAR""."
af77acf434244df883b9683b87913afe,NOTA TÉCNICA 44 - Adaptação Metodológica do IDS: Rumo à Análise Comparativa com o Censo 2022 (Dezembro/2024),PDF,PrefeituraRio,,False,1470875,531,IDS|Índice de Desenvolvimento Social|Índices|Censo 2022|Censo 2010|4059,2024,2025,,censo_demografico|ips_ids,"Esta Nota Técnica apresenta a nova versão do cálculo do Índice de Desenvolvimento Social (IDS) de 2010, substituindo a variável ""Renda Domiciliar Per Capita"" por ""Renda dos Responsáveis pelo Domicílio"", conforme o Censo de 2022 do IBGE. A mudança reflete a diferença entre essas variáveis, visando permitir uma comparação adequada entre os IDS de 2010 e 202 , assim que estiverem disponíveis os dados pertinentes para setores censitários do Censo Demográfico 2022 necessários à composição do IDS."
8027e843895d467da91a7a8c747fd524,NOTA TÉCNICA 45 - Resumo Executivo: Índice de Progresso Social (IPS) da Cidade do Rio de Janeiro 2024 (Dezembro/2024),PDF,PrefeituraRio,,False,1525894,559,IPS|Índice de Progresso Social|Índices|IPS Rio|4060,2024,2025,ra,ips_ids,O presente documento é um resumo executivo com os resultados e a metodologia utilizados para o Índice de Progresso Social da cidade do Rio de Janeiro por Região Administrativa no ano de 2024.
04300a18d57241fab78a2336bdc7e39e,Coleção Estudos Cariocas,Document Link,PrefeituraRio,https://estudoscariocas.rio,True,27,329,Revista|Estudos Cariocas|Periódico|Acadêmico|Academia|Publicação|4062,2025,2025,municipio,,"A Coleção Estudos Cariocas (ISSN 1984-7203) é uma publicação de estudos e pesquisas sobre o Município do Rio de Janeiro, vinculada ao Instituto Pereira Passos (IPP) da Secretaria Municipal da Casa Civil da Prefeitura do Rio de Janeiro. Desde 2001, tem publicado reflexões sobre a cidade do Rio de Janeiro e suas interlocuções regionais, sendo caracterizada pela amplitude temática de estudos, adequados ao recorte espacial do Rio de Janeiro."
8644dbd04a0c472faa2b727718a8bcad,"Taxa de Analfabetismo da população de 15 anos ou mais, segundo as Regiões Administrativas (RA) do Município do Rio de Janeiro, em 2000/2010/2022",CSV Collection,PrefeituraRio,,False,3262,141,População|Características gerais,2025,2025,ra,,"A tabela apresenta a taxa de analfabetismo da população com 15 anos ou mais de idade no Município do Rio de Janeiro, segundo as Regiões Administrativas (RA), nos anos de 2000, 2010 e 2022. Os dados mostram a proporção de pessoas que não sabem ler e escrever em relação ao total da população nessa faixa etária."
e24e35a517be408495abbe098b6672f8,"Pessoas alfabetizadas, por faixa etária e sexo, segundo Bairros no Município do Rio de Janeiro em 2000/2010/2022",CSV Collection,PrefeituraRio,,False,40051,114,Educação|Educação Básica,2025,2025,bairro,educacao_basica,"Os arquivos indicam o número absoluto de pessoas alfabetizadas, segundo faixa etária e sexo, segundo Bairros em 2000, 2010 e 2022."
29d517eedb9c44379a07430280a12839,Favelas Cariocas: Índice de Qualidade Urbana - Reedição digital 2026 - 1ª Edição (Impressa) 1997,PDF,PrefeituraRio,,False,9454094,27,Índice de Qualidade Urbana|IQU|Índice de Desenvolvimento Social|IDS|Índices de Desenvolvimento Socioeconômicos|Regiões Administrativas|RA|Favelas|Assentamentos de baixa Renda|Indicadores Sociais|Infraestrutura Urbana,2026,2026,ra,infraestrutura|ips_ids,"O Índice de Qualidade Urbana das Favelas cariocas, avalia 462 favelas e a desigualdade entre Favela e Cidade Formal (quando agregados por Regiões Administrativas),utilizando 11 variáveis divididas em quatro dimensões principais: Ambiental, Habitacional, Educacional e Renda."
