openalex_id,title,category_id,old_stage2_score,new_stage2_sim,old_status,new_status,old_score,new_score,old_item,new_item
https://openalex.org/W2133565765,Parenting for Cognitive Development from 1950 to 2000,geometry-schools,0.0,0.0,available,,13.0,0.0,0a220ea7972449e39a28210dd317f636,
https://openalex.org/W1193570217,Uma Sugestão de deflatores para rendas obtidas a partir de algumas pesquisas domiciliares do IBGE,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1193570217,Uma Sugestão de deflatores para rendas obtidas a partir de algumas pesquisas domiciliares do IBGE,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1193570217,Uma Sugestão de deflatores para rendas obtidas a partir de algumas pesquisas domiciliares do IBGE,longitudinal-cohort,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2124337656,"Classe, raça e mobilidade social no Brasil",microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2080712097,Inequalities in school systems: effect of school structure or of society structure?,performance-aggregated,2.0,13.793,available,available,7.0,15.54,29d517eedb9c44379a07430280a12839,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W2080712097,Inequalities in school systems: effect of school structure or of society structure?,ses-aggregated,0.0,6.461,,available,0.0,18.95,,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W2080712097,Inequalities in school systems: effect of school structure or of society structure?,geometry-schools,0.0,6.461,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W230040584,Housing Policy Is School Policy: Economically Integrative Housing Promotes Academic Success in Montg,performance-aggregated,2.0,15.074,available,available,7.0,15.54,29d517eedb9c44379a07430280a12839,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W230040584,Housing Policy Is School Policy: Economically Integrative Housing Promotes Academic Success in Montg,ses-aggregated,0.0,6.461,,available,0.0,18.95,,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W230040584,Housing Policy Is School Policy: Economically Integrative Housing Promotes Academic Success in Montg,geometry-schools,0.0,6.461,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W1592769789,Teacher Mobility and Allocation,microdata-student,2.0,13.59,external,external,0.0,0.0,,
https://openalex.org/W1592769789,Teacher Mobility and Allocation,ses-aggregated,4.0,40.013,available,available,8.0,18.95,fa85ddc76a524380ad7fc60e3006ee97,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W1592769789,Teacher Mobility and Allocation,geometry-schools,2.0,13.793,available,available,7.0,21.8,498e637753bd4e0da76e90103dd21eb7,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W135779082,Unions and public schools : the effect of collective bargaining on American education,geometry-schools,0.0,7.332,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W6217144,Educational Achievement and School Peer Group Composition,performance-aggregated,2.0,13.793,available,available,7.0,15.54,29d517eedb9c44379a07430280a12839,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W6217144,Educational Achievement and School Peer Group Composition,ses-aggregated,2.0,15.585,available,available,8.0,18.95,fa85ddc76a524380ad7fc60e3006ee97,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W6217144,Educational Achievement and School Peer Group Composition,geometry-schools,0.0,6.461,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W2108197019,Desigualdade de renda e situação de saúde: o caso do Rio de Janeiro,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2108197019,Desigualdade de renda e situação de saúde: o caso do Rio de Janeiro,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2108197019,Desigualdade de renda e situação de saúde: o caso do Rio de Janeiro,longitudinal-cohort,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1649184474,O Topo da Distribuição de Renda no Brasil: Primeiras Estimativas com Dados Tributários e Comparação ,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1649184474,O Topo da Distribuição de Renda no Brasil: Primeiras Estimativas com Dados Tributários e Comparação ,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1649184474,O Topo da Distribuição de Renda no Brasil: Primeiras Estimativas com Dados Tributários e Comparação ,longitudinal-cohort,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1565590505,Teacher Mobility Revisited,microdata-student,0.0,7.737,,external,0.0,0.0,,
https://openalex.org/W1565590505,Teacher Mobility Revisited,performance-aggregated,0.0,6.461,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W1565590505,Teacher Mobility Revisited,ses-aggregated,0.0,0.0,available,,17.0,0.0,0afd8c122fb4400b847693e715106304,
https://openalex.org/W1565590505,Teacher Mobility Revisited,geometry-schools,0.0,6.461,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W1481856004,School finance: The economics and politics of public education,performance-aggregated,0.0,6.461,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W1481856004,School finance: The economics and politics of public education,ses-aggregated,0.0,6.461,available,available,17.0,18.95,0afd8c122fb4400b847693e715106304,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W1481856004,School finance: The economics and politics of public education,geometry-schools,0.0,6.461,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W2039178249,Individual Level Models for Mobility Tables and other Cross-Classifications,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2039178249,Individual Level Models for Mobility Tables and other Cross-Classifications,geometry-schools,0.0,0.0,available,,13.0,0.0,0a220ea7972449e39a28210dd317f636,
https://openalex.org/W2039178249,Individual Level Models for Mobility Tables and other Cross-Classifications,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1530594506,Input-output analysis in public education,enrollment-counts,0.0,0.0,available,,15.0,0.0,b854cc4ce2c541e0bef62fc22d1f6fbc,
https://openalex.org/W1530594506,Input-output analysis in public education,performance-aggregated,0.0,0.0,available,,10.0,0.0,7888fde5637e4f2fa54cfb80f32321e4,
https://openalex.org/W3044580668,"Crise, condicionantes e desafios de coordenação do Estado federativo brasileiro no contexto da COVID",travel-network,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2094987661,Uma classificação socioeconômica para o Brasil,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1585792772,A Queda Recente da Desigualdade de Renda no Brasil,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1585792772,A Queda Recente da Desigualdade de Renda no Brasil,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1585792772,A Queda Recente da Desigualdade de Renda no Brasil,longitudinal-cohort,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2097536917,DIVORCE AND THE COGNITIVE ACHIEVEMENT OF CHILDREN,microdata-student,2.0,22.754,external,external,0.0,0.0,,
https://openalex.org/W2097536917,DIVORCE AND THE COGNITIVE ACHIEVEMENT OF CHILDREN,performance-aggregated,2.0,14.509,available,available,7.0,15.54,29d517eedb9c44379a07430280a12839,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W2097536917,DIVORCE AND THE COGNITIVE ACHIEVEMENT OF CHILDREN,ses-aggregated,0.0,7.45,,available,0.0,18.95,,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W2065489451,"Desigualdade de oportunidades no Brasil: considerações sobre classe, educação e raça",microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3025985387,"Vulnerabilidade a formas graves de COVID-19: uma análise intramunicipal na cidade do Rio de Janeiro,",microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3025985387,"Vulnerabilidade a formas graves de COVID-19: uma análise intramunicipal na cidade do Rio de Janeiro,",geometry-schools,0.0,0.0,available,,13.0,0.0,0a220ea7972449e39a28210dd317f636,
