bairro,value,z,lag_z,local_i,pseudo_p,lisa_class
costa barros,0.5275,-0.992,-0.5536,0.5492,0.254,NS
jardim guanabara,0.7065,1.5118,-0.1737,-0.2626,0.756,NS
jardim carioca,0.5878,-0.148,0.448,-0.0663,0.308,NS
taua,0.5526,-0.6402,0.3216,-0.2059,0.622,NS
monero,0.6811,1.157,-0.1109,-0.1283,0.868,NS
acari,0.5252,-1.0234,-0.4973,0.509,0.386,NS
portuguesa,0.631,0.4556,0.4406,0.2007,0.352,NS
barros filho,0.5331,-0.9138,-0.5428,0.496,0.182,NS
guadalupe,0.5798,-0.26,-0.6437,0.1673,0.079,NS
ricardo de albuquerque,0.5614,-0.5175,-0.4008,0.2074,0.383,NS
anchieta,0.5619,-0.5109,-0.511,0.2611,0.245,NS
coelho neto,0.5627,-0.499,-0.6115,0.3051,0.084,NS
cidade de deus,0.5412,-0.8002,-0.1182,0.0946,0.802,NS
anil,0.5999,0.021,-0.3911,-0.0082,0.485,NS
pavuna,0.5605,-0.5299,-0.5869,0.311,0.12,NS
freguesia (jacarepagua),0.6377,0.5492,-0.2839,-0.1559,0.433,NS
pechincha,0.6366,0.5343,-0.1073,-0.0573,0.844,NS
tanque,0.5822,-0.2261,0.299,-0.0676,0.42,NS
praca seca,0.5922,-0.0865,0.0159,-0.0014,0.974,NS
deodoro,0.5558,-0.5957,0.0096,-0.0057,0.984,NS
vila valqueire,0.6337,0.4937,0.2267,0.1119,0.541,NS
itanhanga,0.4995,-1.384,0.6228,-0.862,0.189,NS
vila militar,0.5711,-0.3817,-0.0175,0.0067,0.961,NS
campo dos afonsos,0.7133,1.6069,-0.0549,-0.0881,0.91,NS
barra da tijuca,0.7665,2.3514,0.4126,0.9703,0.416,NS
vargem pequena,0.5132,-1.1923,-0.4922,0.5869,0.52,NS
vargem grande,0.4202,-2.4927,-0.7306,1.8212,0.038,LL
recreio dos bandeirantes,0.7062,1.5082,-0.744,-1.1221,0.111,NS
parada de lucas,0.5365,-0.8661,-0.7059,0.6113,0.296,NS
cordovil,0.5552,-0.6049,-0.3895,0.2356,0.531,NS
iraja,0.5954,-0.0417,-0.4592,0.0191,0.112,NS
bras de pina,0.5826,-0.2205,-0.0411,0.0091,0.941,NS
vila da penha,0.6387,0.5635,-0.1629,-0.0918,0.728,NS
