year,n_bairros,total_matriculas,mean_ideb_unweighted,mean_ideb_weighted,T_total_unweighted,T_within_unweighted,share_within_unweighted,T_total_weighted,T_within_weighted,share_within_weighted,delta_T_total,delta_share_within
2011,139,656484.0,5.494,5.416,0.004463,0.00304,0.6811,0.002337,0.001357,0.5808,-0.002126,-0.1003
2013,140,654745.0,5.336,5.303,0.006561,0.004624,0.7047,0.003811,0.002347,0.6157,-0.00275,-0.089
