year,n_bairros,n_ras,mean_ideb,T_total,T_between,T_within,share_between,share_within,check_sum
2007,150,33,4.588,0.004763,0.001938,0.002825,0.4069,0.5931,-0.0
2009,149,32,5.103,0.005226,0.001665,0.003561,0.3186,0.6814,-0.0
2011,148,32,5.479,0.004362,0.001362,0.003,0.3123,0.6877,0.0
2013,148,32,5.329,0.006587,0.001767,0.004821,0.2682,0.7318,0.0
2015,147,33,5.634,0.00397,0.001324,0.002646,0.3335,0.6665,-0.0
2017,145,33,5.797,0.003494,0.001311,0.002183,0.3752,0.6248,0.0
2019,145,33,5.808,0.002639,0.000854,0.001785,0.3237,0.6763,-0.0
2021,129,30,5.472,0.004523,0.001743,0.00278,0.3854,0.6146,-0.0
2023,147,33,6.002,0.003508,0.001121,0.002387,0.3196,0.6804,0.0
