hex_id,ideb_bairro,nome,codbairro,codra,rp,cod_rp,area_plane
88a8a06e59fffff,Rocha Miranda,Rocha Miranda,086,15,Madureira,3.3,3
88a8a062a5fffff,Freguesia (Jacarepaguá),Freguesia (Jacarepaguá),120,16,Jacarepaguá,4.1,4
88a8a02f69fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a07429fffff,Vargem Pequena,Vargem Pequena,130,24,Barra da Tijuca,4.2,4
88a8a0634dfffff,São Conrado,São Conrado,031,6,Zona Sul,2.1,2
88a8a074d1fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a03927fffff,Grumari,Grumari,133,24,Barra da Tijuca,4.2,4
88a8a07525fffff,Barra Olímpica,Barra Olímpica,165,16,Jacarepaguá,4.1,4
88a8a0212bfffff,Sepetiba,Sepetiba,150,19,Santa Cruz,5.3,5
88a8a076c7fffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a0284bfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06449fffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a075cdfffff,Camorim,Camorim,129,24,Barra da Tijuca,4.2,4
88a8a02947fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a06545fffff,Deodoro,Deodoro,134,33,Bangu,5.1,5
88a8a06e07fffff,Jardim América,Jardim América,049,31,Penha,3.5,3
88a8a076c9fffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a0212dfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06e5bfffff,Coelho Neto,Coelho Neto,110,25,Pavuna,3.6,3
88a8a02181fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06e05fffff,Parada de Lucas,Parada de Lucas,047,31,Penha,3.5,3
88a8a02a43fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06641fffff,Senador Camará,Senador Camará,142,17,Bangu,5.1,5
88a8a021d5fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a02a97fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06695fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a06f57fffff,Penha Circular,Penha Circular,044,11,Penha,3.5,3
88a8a02aebfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a066e9fffff,Senador Camará,Senador Camará,142,17,Bangu,5.1,5
88a8a0673dfffff,Vila Militar,Vila Militar,135,33,Bangu,5.1,5
88a8a078c1fffff,Lagoa,Lagoa,027,6,Zona Sul,2.1,2
88a8a070a7fffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a06543fffff,Deodoro,Deodoro,134,33,Bangu,5.1,5
88a8a060c7fffff,Praça Seca,Praça Seca,124,16,Jacarepaguá,4.1,4
88a8a0611bfffff,Engenho Novo,Engenho Novo,061,13,Méier,3.2,3
88a8a061c3fffff,Inhaúma,Inhaúma,054,12,Inhaúma,3.4,3
88a8a02945fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a06217fffff,Anil,Anil,116,16,Jacarepaguá,4.1,4
88a8a06ad9fffff,Maré,Maré,157,30,Ramos,3.1,3
88a8a0626bfffff,Itanhangá,Itanhangá,127,24,Barra da Tijuca,4.2,4
88a8a06313fffff,Alto da Boa Vista,Alto da Boa Vista,034,8,Tijuca,2.2,2
88a8a07443fffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a06367fffff,Jardim Botânico,Jardim Botânico,028,6,Zona Sul,2.1,2
88a8a07497fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a038edfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a074ebfffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a02811fffff,Paciência,Paciência,148,19,Santa Cruz,5.3,5
88a8a02865fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a03995fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06463fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a07593fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a039e9fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a075e7fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a0290dfffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a0650bfffff,Parque Anchieta,Parque Anchieta,108,22,Pavuna,3.6,3
88a8a0763bfffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a02961fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a06e21fffff,Vigário Geral,Vigário Geral,048,31,Penha,3.5,3
88a8a029b5fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a076e3fffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a02147fffff,Sepetiba,Sepetiba,150,19,Santa Cruz,5.3,5
88a8a02a09fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06607fffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a0219bfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a07737fffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a06ec9fffff,Pavuna,Pavuna,114,25,Pavuna,3.6,3
88a8a02a5dfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a0665bfffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a075cbfffff,Camorim,Camorim,129,24,Barra da Tijuca,4.2,4
88a8a06f1dfffff,Cordovil,Cordovil,046,31,Penha,3.5,3
88a8a02ab1fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a02b05fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
