hex_id,ideb_bairro,nome,codbairro,codra,rp,cod_rp,area_plane
88a8a0676bfffff,Jardim Sulacap,Jardim Sulacap,137,33,Bangu,5.1,5
88a8a0789bfffff,Alto da Boa Vista,Alto da Boa Vista,034,8,Tijuca,2.2,2
88a8a0604dfffff,Alto da Boa Vista,Alto da Boa Vista,034,8,Tijuca,2.2,2
88a8a060a1fffff,Cavalcanti,Cavalcanti,080,15,Madureira,3.3,3
88a8a07a93fffff,Rocinha,Rocinha,154,27,Zona Sul,2.1,2
88a8a02e6bfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06149fffff,Tijuca,Tijuca,033,8,Tijuca,2.2,2
88a8a06a0bfffff,Centro,Centro,005,2,Centro,1.1,1
88a8a0619dfffff,Engenho da Rainha,Engenho da Rainha,055,12,Inhaúma,3.4,3
88a8a02e61fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06245fffff,Itanhangá,Itanhangá,127,24,Barra da Tijuca,4.2,4
88a8a02f09fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06299fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a061a7fffff,Ramos,Ramos,041,10,Ramos,3.1,3
88a8a02f5dfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a062edfffff,Freguesia (Jacarepaguá),Freguesia (Jacarepaguá),120,16,Jacarepaguá,4.1,4
88a8a0741dfffff,Vargem Pequena,Vargem Pequena,130,24,Barra da Tijuca,4.2,4
88a8a06341fffff,São Conrado,São Conrado,031,6,Zona Sul,2.1,2
88a8a074c5fffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a0391bfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a07519fffff,Barra Olímpica,Barra Olímpica,165,16,Jacarepaguá,4.1,4
