id,title,format,file_bytes,n_sheets,total_rows,max_cols,max_unique_first_col,years_min,years_max,num_views,tags
d4ffe88007e1445780a395a6bbfb6d12,"Proporção de estudantes na rede pública, por nível de ensino, segundo as Regiões Administrativas (RA) do Município do Rio de Janeiro - 2000",xls,51200,1,46,16,36,2000,2000,63,Educação|Escolaridade da população
dbed8b55cf28474296457ab9989f91c5,"Indicadores de Educação: analfabetismo funcional, percentual de analfabetos funcionais por faixas etárias, segundo as regiões administrativas em 1991/2000",xls,70656,5,375,7,129,1991,2003,102,Educação|Educação básica
de5244dedc1645848cd1278cbaabbe35,"Educação Infantil: número de creches e matrículas por faixa etária na rede pública municipal, segundo as Coordenações Regionais de Educação, entre 2004-2008",xls,35328,5,111,13,14,2004,2008,96,Educação|Educação básica
e80c3f68ddbf40e2879c486fecf23255,"Ensino Fundamental: número e proporção de matrículas, por Dependências Administrativas, entre 2002-2011",xls,29184,1,31,11,12,2002,2012,97,Educação|Educação básica
ebcf102e74484fb2bc445d6129d32d39,"Educação Especial: matrícula, por tipo de excepcionalidade, segundo as Dependências Administrativas, entre 1999-2002",xls,23552,1,36,10,12,1999,2005,56,Educação|Educação básica
eed810844efd499d839b5f1e82972274,"Pessoas de 5 anos ou mais de idade alfabetizadas e taxa de alfabetização das pessoas de 5 anos ou mais de idade, por faixa etária, segundo as Áreas de Planejamento (AP), Regiões Administrativas (RA) e Bairros no Município do Rio de Janeiro - 2010",xls,65024,1,248,19,200,2010,2010,220,Educação|Educação básica
f1418b4c6abc46788d3f3875219fe413,"Educação Infantil: número de creches e matrículas nos estabelecimentos municipais e conveniados com a Prefeitura da Cidade do Rio de Janeiro, segundo as Coordenadorias Regionais de Educação (CRE) - 2003",xls,18944,1,28,13,18,2003,2003,46,Educação|Educação básica
f49651f016704db388769d893bdcf9ed,"Média de anos de estudo das pessoas responsáveis pelos domicílios partarticulares permemanentes por sexo, segundo as Áreas de Planejamento (AP), Regiões Administrativas (RA) e Bairros - 2000",xls,32768,1,69,19,61,2000,2000,125,Educação|Escolaridade da população
f5899119bb9c4ba3b290116a02b88cfc,"Educação Especial: matrícula por tipo de ensino, segundo as Dependências Administrativas, entre 1999-2002",xls,20992,1,38,11,9,1999,2007,105,Educação|Educação básica
fa7e0df92fe9461cb41f0156fda83383,"Número e proporção de estudantes e não estudantes de 4 a 6 anos, por nível de ensino no Município do Rio de Janeiro, em 2000/2010",xls,48640,3,46,10,7,2000,2010,120,Educação|Escolaridade da população
fb6ece5b0fc14c18839e9f510fcae09b,"Taxa de analfabetos por faixas etárias, por Bairros ou grupos de Bairros no Município do Rio de Janeiro em 1991/2000/2010",xls,159232,6,532,8,131,1991,2010,635,Educação|Educação básica
fcc6f32c9ed346af8449e258594bcda6,"Estudantes de 5 anos ou mais de idade, por grau, duração do curso e série que frequentavam, segundo a idade, no Município do Rio de Janeiro em 2008/2009",xls,47104,2,68,24,20,2008,2009,98,Educação|Escolaridade da população
fcd345901b7d4a619c989154bb8d4eca,"Número de estudantes por grupo de idade, segundo curso que freqüentam, no Município do Rio de Janeiro, em 2000/2010",xls,51200,2,49,11,16,2000,2010,121,Educação|Escolaridade da população
fd6567b87e7d4a2d867a66a58d7ff19f,"Educação Infantil: número e proporção de matrículas, por Dependências Administrativas, entre 2002-2011",xls,29696,1,31,11,12,2002,2012,119,Educação|Educação básica
fe46c1bedc0b475c9cf9ee26e43e0b95,"Ensino Superior: número de cursos, vagas, inscrições, matrículas e concluintes, por Dependências Administrativas, entre 2001-2009",xls,35328,1,84,7,18,2001,2012,112,Educação|Ensino superior
fef2b2a156f649dabd4a37fd5211fb51,"Número e distribuição percentual de concluintes em cursos de graduação presenciais, por organização acadêmica, segundo a categoria administrativa no Município do Rio de Janeiro, entre 2000-2022",xls,314368,24,485,8,10,2000,2023,233,Educação|Ensino superior
