bairro,value,z,lag_z,local_i,pseudo_p,lisa_class
meier,5.6,-0.8083,-0.5093,0.4117,0.293,NS
cachambi,6.5,0.9856,-1.1073,-1.0914,0.003,HL
pilares,5.9,-0.2103,0.1883,-0.0396,0.663,NS
honorio gurgel,6.0,-0.011,-0.3432,0.0038,0.368,NS
cascadura,6.2,0.3877,-0.2768,-0.1073,0.48,NS
engenho de dentro,5.7,-0.609,0.1029,-0.0627,0.795,NS
piedade,6.5,0.9856,0.4873,0.4803,0.248,NS
campinho,5.7,-0.609,0.0289,-0.0176,0.94,NS
colegio,6.0,-0.011,-0.609,0.0067,0.311,NS
quintino bocaiuva,6.3,0.587,0.2215,0.13,0.632,NS
cavalcanti,6.0,-0.011,-0.1605,0.0018,0.646,NS
madureira,5.5,-1.0076,-0.4761,0.4797,0.237,NS
turiacu,5.8,-0.4096,-0.7585,0.3107,0.144,NS
rocha miranda,5.7,-0.609,-0.4951,0.3015,0.177,NS
bento ribeiro,6.0,-0.011,0.1883,-0.0021,0.698,NS
marechal hermes,6.6,1.185,0.2738,0.3244,0.484,NS
pitangueiras,6.4,0.7863,-0.011,-0.0086,0.989,NS
praia da bandeira,6.2,0.3877,0.1883,0.073,0.823,NS
costa barros,5.2,-1.6056,-0.6588,1.0578,0.189,NS
jardim guanabara,6.6,1.185,-0.1107,-0.1311,0.836,NS
jardim carioca,5.8,-0.4096,0.4275,-0.1751,0.328,NS
taua,6.0,-0.011,0.1883,-0.0021,0.799,NS
monero,6.7,1.3843,-0.1439,-0.1992,0.801,NS
acari,5.2,-1.6056,-1.0076,1.6179,0.094,NS
portuguesa,6.0,-0.011,0.6368,-0.007,0.204,NS
barros filho,5.4,-1.207,-0.4096,0.4944,0.324,NS
guadalupe,6.1,0.1883,-0.2957,-0.0557,0.471,NS
ricardo de albuquerque,5.9,-0.2103,0.1485,-0.0312,0.72,NS
anchieta,5.5,-1.0076,-0.3698,0.3726,0.407,NS
coelho neto,5.2,-1.6056,-0.6837,1.0978,0.045,LL
cidade de deus,5.8,-0.4096,0.2282,-0.0935,0.599,NS
anil,6.2,0.3877,-0.4096,-0.1588,0.482,NS
pavuna,5.7,-0.609,-1.0076,0.6136,0.012,LL
freguesia (jacarepagua),6.0,-0.011,0.3129,-0.0034,0.366,NS
pechincha,7.0,1.9823,0.0388,0.077,0.947,NS
tanque,6.1,0.1883,0.8433,0.1588,0.019,HH
praca seca,5.9,-0.2103,0.3079,-0.0648,0.526,NS
deodoro,6.4,0.7863,0.5471,0.4302,0.219,NS
vila valqueire,6.5,0.9856,0.5585,0.5505,0.122,NS
