ra,bairro,component,year,value
I Portuária,Caju,aprovacao,2007,98.4319298245614
I Portuária,Caju,aprovacao,2009,91.15974025974026
I Portuária,Caju,aprovacao,2011,93.5263157894737
I Portuária,Caju,aprovacao,2013,87.11145833333333
I Portuária,Caju,aprovacao,2015,88.15483870967742
I Portuária,Caju,aprovacao,2017,94.68708487084871
I Portuária,Caju,aprovacao,2019,97.84268292682926
I Portuária,Caju,aprovacao,2021,100.0
I Portuária,Caju,aprovacao,2023,95.4
I Portuária,Caju,saeb,2007,4.488315789473685
I Portuária,Caju,saeb,2009,5.33064935064935
I Portuária,Caju,saeb,2011,5.404309210526315
I Portuária,Caju,saeb,2013,5.319201388888889
I Portuária,Caju,saeb,2015,5.789548387096774
I Portuária,Caju,saeb,2017,6.091771217712177
I Portuária,Caju,saeb,2019,6.482804878048781
I Portuária,Caju,saeb,2021,6.378428
I Portuária,Caju,saeb,2023,6.0
I Portuária,Caju,ideb,2007,4.4035087719298245
I Portuária,Caju,ideb,2009,4.798701298701299
I Portuária,Caju,ideb,2011,4.931907894736842
I Portuária,Caju,ideb,2013,4.456597222222222
I Portuária,Caju,ideb,2015,5.110322580645161
I Portuária,Caju,ideb,2017,5.56789667896679
I Portuária,Caju,ideb,2019,6.158536585365853
I Portuária,Caju,ideb,2021,6.4
I Portuária,Caju,ideb,2023,5.8
I Portuária,Gamboa,aprovacao,2007,96.0
I Portuária,Gamboa,aprovacao,2009,70.1
I Portuária,Gamboa,aprovacao,2011,88.7
I Portuária,Gamboa,aprovacao,2013,83.3
I Portuária,Gamboa,aprovacao,2015,87.9
I Portuária,Gamboa,aprovacao,2017,89.59999999999998
I Portuária,Gamboa,aprovacao,2019,98.5
I Portuária,Gamboa,aprovacao,2023,99.5
I Portuária,Gamboa,saeb,2007,4.09
I Portuária,Gamboa,saeb,2009,5.52
I Portuária,Gamboa,saeb,2011,5.06
I Portuária,Gamboa,saeb,2013,5.66
I Portuária,Gamboa,saeb,2015,6.21
I Portuária,Gamboa,saeb,2017,6.18
I Portuária,Gamboa,saeb,2019,5.87
I Portuária,Gamboa,saeb,2023,5.7
I Portuária,Gamboa,ideb,2007,4.0
I Portuária,Gamboa,ideb,2009,3.7999999999999994
I Portuária,Gamboa,ideb,2011,4.3
I Portuária,Gamboa,ideb,2013,4.3
I Portuária,Gamboa,ideb,2015,5.6
I Portuária,Gamboa,ideb,2017,5.2
I Portuária,Gamboa,ideb,2019,5.5
I Portuária,Gamboa,ideb,2023,5.7
I Portuária,Santo Cristo,aprovacao,2007,97.712
I Portuária,Santo Cristo,aprovacao,2009,89.42903225806452
I Portuária,Santo Cristo,aprovacao,2011,91.80268456375838
I Portuária,Santo Cristo,aprovacao,2013,86.32125
I Portuária,Santo Cristo,aprovacao,2015,78.73882978723405
I Portuária,Santo Cristo,aprovacao,2017,96.47844311377246
I Portuária,Santo Cristo,aprovacao,2019,98.71225806451613
I Portuária,Santo Cristo,aprovacao,2021,99.81741379310344
I Portuária,Santo Cristo,aprovacao,2023,96.8
I Portuária,Santo Cristo,saeb,2007,4.7554
I Portuária,Santo Cristo,saeb,2009,5.610645161290323
I Portuária,Santo Cristo,saeb,2011,6.19986577181208
I Portuária,Santo Cristo,saeb,2013,6.237875
I Portuária,Santo Cristo,saeb,2015,6.022393617021277
I Portuária,Santo Cristo,saeb,2017,5.904790419161676
I Portuária,Santo Cristo,saeb,2019,5.375935483870968
I Portuária,Santo Cristo,saeb,2021,5.16869807586207
I Portuária,Santo Cristo,saeb,2023,5.1
I Portuária,Santo Cristo,ideb,2007,4.278499999999999
I Portuária,Santo Cristo,ideb,2009,5.070967741935483
I Portuária,Santo Cristo,ideb,2011,5.532885906040269
I Portuária,Santo Cristo,ideb,2013,5.166875
I Portuária,Santo Cristo,ideb,2015,5.207446808510638
I Portuária,Santo Cristo,ideb,2017,5.573652694610778
I Portuária,Santo Cristo,ideb,2019,5.128387096774193
I Portuária,Santo Cristo,ideb,2021,5.139137931034482
I Portuária,Santo Cristo,ideb,2023,4.9
I Portuária,Saúde,aprovacao,2007,96.4
I Portuária,Saúde,aprovacao,2009,78.6
I Portuária,Saúde,saeb,2007,4.64
I Portuária,Saúde,saeb,2009,5.35
I Portuária,Saúde,ideb,2007,4.0
I Portuária,Saúde,ideb,2009,4.2
II Centro,Centro,aprovacao,2007,95.3546875
II Centro,Centro,aprovacao,2009,91.21541218637992
II Centro,Centro,aprovacao,2011,88.40152671755726
II Centro,Centro,aprovacao,2013,88.94533333333334
II Centro,Centro,aprovacao,2015,87.79533678756476
II Centro,Centro,aprovacao,2017,91.04650205761317
II Centro,Centro,aprovacao,2019,90.78042328042328
II Centro,Centro,aprovacao,2023,97.8
II Centro,Centro,saeb,2007,5.050260416666667
II Centro,Centro,saeb,2009,5.561792114695342
II Centro,Centro,saeb,2011,5.940267175572519
II Centro,Centro,saeb,2013,5.908088888888889
II Centro,Centro,saeb,2015,6.112849740932642
II Centro,Centro,saeb,2017,6.206666666666668
II Centro,Centro,saeb,2019,6.177142857142857
II Centro,Centro,saeb,2023,6.4
II Centro,Centro,ideb,2007,4.491666666666667
II Centro,Centro,ideb,2009,5.010035842293907
II Centro,Centro,ideb,2011,5.2477099236641225
II Centro,Centro,ideb,2013,5.1626666666666665
II Centro,Centro,ideb,2015,5.427461139896373
II Centro,Centro,ideb,2017,5.8613168724279845
II Centro,Centro,ideb,2019,5.708465608465609
II Centro,Centro,ideb,2023,6.3
III Rio Comprido,Catumbi,aprovacao,2007,93.0
III Rio Comprido,Catumbi,aprovacao,2009,72.4
III Rio Comprido,Catumbi,aprovacao,2011,73.1
III Rio Comprido,Catumbi,aprovacao,2013,87.0
III Rio Comprido,Catumbi,aprovacao,2015,90.4
III Rio Comprido,Catumbi,aprovacao,2017,100.0
III Rio Comprido,Catumbi,aprovacao,2019,97.72857142857143
III Rio Comprido,Catumbi,aprovacao,2021,100.0
III Rio Comprido,Catumbi,aprovacao,2023,98.4
III Rio Comprido,Catumbi,saeb,2007,3.5400000000000005
III Rio Comprido,Catumbi,saeb,2009,4.96
III Rio Comprido,Catumbi,saeb,2011,5.19
III Rio Comprido,Catumbi,saeb,2013,5.45
III Rio Comprido,Catumbi,saeb,2015,5.66
III Rio Comprido,Catumbi,saeb,2017,6.08
III Rio Comprido,Catumbi,saeb,2019,6.004285714285714
III Rio Comprido,Catumbi,saeb,2021,6.132518
III Rio Comprido,Catumbi,saeb,2023,7.1
III Rio Comprido,Catumbi,ideb,2007,3.0
III Rio Comprido,Catumbi,ideb,2009,3.8
III Rio Comprido,Catumbi,ideb,2011,3.9000000000000004
III Rio Comprido,Catumbi,ideb,2013,4.4
III Rio Comprido,Catumbi,ideb,2015,4.5
III Rio Comprido,Catumbi,ideb,2017,5.9
III Rio Comprido,Catumbi,ideb,2019,5.714285714285714
III Rio Comprido,Catumbi,ideb,2021,6.099999999999999
III Rio Comprido,Catumbi,ideb,2023,6.9
III Rio Comprido,Estácio,aprovacao,2007,89.1
III Rio Comprido,Estácio,aprovacao,2009,91.7
III Rio Comprido,Estácio,aprovacao,2011,100.0
III Rio Comprido,Estácio,aprovacao,2013,96.6
III Rio Comprido,Estácio,aprovacao,2015,100.0
III Rio Comprido,Estácio,aprovacao,2017,82.6
III Rio Comprido,Estácio,aprovacao,2019,100.0
III Rio Comprido,Estácio,aprovacao,2021,99.7
III Rio Comprido,Estácio,aprovacao,2023,99.0
III Rio Comprido,Estácio,saeb,2007,4.22
III Rio Comprido,Estácio,saeb,2009,4.85
III Rio Comprido,Estácio,saeb,2011,5.35
III Rio Comprido,Estácio,saeb,2013,5.4
III Rio Comprido,Estácio,saeb,2015,6.4
III Rio Comprido,Estácio,saeb,2017,6.34
III Rio Comprido,Estácio,saeb,2019,5.5
III Rio Comprido,Estácio,saeb,2021,4.568068
III Rio Comprido,Estácio,saeb,2023,5.6
III Rio Comprido,Estácio,ideb,2007,3.5
III Rio Comprido,Estácio,ideb,2009,4.1
III Rio Comprido,Estácio,ideb,2011,4.8
III Rio Comprido,Estácio,ideb,2013,5.0
III Rio Comprido,Estácio,ideb,2015,5.9
III Rio Comprido,Estácio,ideb,2017,5.2
III Rio Comprido,Estácio,ideb,2019,5.5
III Rio Comprido,Estácio,ideb,2021,4.6
III Rio Comprido,Estácio,ideb,2023,5.5
III Rio Comprido,Rio Comprido,aprovacao,2007,97.15236907730673
III Rio Comprido,Rio Comprido,aprovacao,2009,86.24258555133079
III Rio Comprido,Rio Comprido,aprovacao,2011,88.21080402010048
III Rio Comprido,Rio Comprido,aprovacao,2013,93.50112359550563
III Rio Comprido,Rio Comprido,aprovacao,2015,94.0719512195122
III Rio Comprido,Rio Comprido,aprovacao,2017,85.39537037037036
III Rio Comprido,Rio Comprido,aprovacao,2019,95.12991071428571
III Rio Comprido,Rio Comprido,aprovacao,2021,100.0
III Rio Comprido,Rio Comprido,aprovacao,2023,98.2
III Rio Comprido,Rio Comprido,saeb,2007,4.563865336658354
III Rio Comprido,Rio Comprido,saeb,2009,5.519049429657795
III Rio Comprido,Rio Comprido,saeb,2011,5.824572864321608
III Rio Comprido,Rio Comprido,saeb,2013,5.91314606741573
III Rio Comprido,Rio Comprido,saeb,2015,5.788739837398375
III Rio Comprido,Rio Comprido,saeb,2017,5.820324074074074
III Rio Comprido,Rio Comprido,saeb,2019,5.8775892857142855
III Rio Comprido,Rio Comprido,saeb,2021,5.5483460000000004
III Rio Comprido,Rio Comprido,saeb,2023,5.7
III Rio Comprido,Rio Comprido,ideb,2007,4.254364089775561
III Rio Comprido,Rio Comprido,ideb,2009,4.623574144486692
III Rio Comprido,Rio Comprido,ideb,2011,4.8728643216080405
III Rio Comprido,Rio Comprido,ideb,2013,4.913483146067416
III Rio Comprido,Rio Comprido,ideb,2015,4.967073170731708
III Rio Comprido,Rio Comprido,ideb,2017,5.073148148148148
III Rio Comprido,Rio Comprido,ideb,2019,5.579464285714286
III Rio Comprido,Rio Comprido,ideb,2021,5.5
III Rio Comprido,Rio Comprido,ideb,2023,5.6
VII São Cristóvão,Benfica,aprovacao,2007,96.07011278195489
VII São Cristóvão,Benfica,aprovacao,2009,90.42314049586777
VII São Cristóvão,Benfica,aprovacao,2011,86.00410367170626
VII São Cristóvão,Benfica,aprovacao,2013,92.57358490566037
VII São Cristóvão,Benfica,aprovacao,2015,92.43904109589042
VII São Cristóvão,Benfica,aprovacao,2017,93.37765667574932
VII São Cristóvão,Benfica,aprovacao,2019,87.56458923512749
VII São Cristóvão,Benfica,aprovacao,2021,99.59719999999999
VII São Cristóvão,Benfica,aprovacao,2023,97.7
VII São Cristóvão,Benfica,saeb,2007,4.4425
VII São Cristóvão,Benfica,saeb,2009,5.553305785123967
VII São Cristóvão,Benfica,saeb,2011,5.633909287257019
VII São Cristóvão,Benfica,saeb,2013,5.253542976939204
VII São Cristóvão,Benfica,saeb,2015,5.670456621004566
VII São Cristóvão,Benfica,saeb,2017,5.7156403269754765
VII São Cristóvão,Benfica,saeb,2019,5.850396600566572
VII São Cristóvão,Benfica,saeb,2021,5.093251907999999
VII São Cristóvão,Benfica,saeb,2023,6.0
VII São Cristóvão,Benfica,ideb,2007,4.098684210526316
VII São Cristóvão,Benfica,ideb,2009,4.721212121212121
VII São Cristóvão,Benfica,ideb,2011,4.673866090712743
VII São Cristóvão,Benfica,ideb,2013,4.718448637316562
VII São Cristóvão,Benfica,ideb,2015,4.972602739726027
VII São Cristóvão,Benfica,ideb,2017,5.398092643051771
VII São Cristóvão,Benfica,ideb,2019,5.441926345609065
VII São Cristóvão,Benfica,ideb,2021,5.064933333333333
VII São Cristóvão,Benfica,ideb,2023,5.9
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2007,97.72219178082192
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2009,90.10749279538905
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2011,88.81428571428572
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2013,93.655938697318
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2015,94.17169811320754
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2017,96.48184818481849
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2019,94.80634441087612
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2021,99.0777596075225
VII São Cristóvão,Imperial de São Cristóvão,aprovacao,2023,96.9
VII São Cristóvão,Imperial de São Cristóvão,saeb,2007,5.3606849315068485
VII São Cristóvão,Imperial de São Cristóvão,saeb,2009,5.8275792507204605
VII São Cristóvão,Imperial de São Cristóvão,saeb,2011,6.148904761904761
VII São Cristóvão,Imperial de São Cristóvão,saeb,2013,6.1257088122605365
VII São Cristóvão,Imperial de São Cristóvão,saeb,2015,6.079496855345911
VII São Cristóvão,Imperial de São Cristóvão,saeb,2017,6.435214521452145
VII São Cristóvão,Imperial de São Cristóvão,saeb,2019,6.223413897280966
VII São Cristóvão,Imperial de São Cristóvão,saeb,2021,5.396147598528208
VII São Cristóvão,Imperial de São Cristóvão,saeb,2023,6.4
VII São Cristóvão,Imperial de São Cristóvão,ideb,2007,5.111506849315068
VII São Cristóvão,Imperial de São Cristóvão,ideb,2009,5.196541786743516
VII São Cristóvão,Imperial de São Cristóvão,ideb,2011,5.314761904761904
VII São Cristóvão,Imperial de São Cristóvão,ideb,2013,5.681226053639847
VII São Cristóvão,Imperial de São Cristóvão,ideb,2015,5.7062893081761015
VII São Cristóvão,Imperial de São Cristóvão,ideb,2017,6.141254125412542
VII São Cristóvão,Imperial de São Cristóvão,ideb,2019,6.024773413897281
VII São Cristóvão,Imperial de São Cristóvão,ideb,2021,5.354210956663941
VII São Cristóvão,Imperial de São Cristóvão,ideb,2023,6.2
VII São Cristóvão,Vasco da Gama,aprovacao,2007,99.1
VII São Cristóvão,Vasco da Gama,aprovacao,2009,95.0
VII São Cristóvão,Vasco da Gama,aprovacao,2011,100.0
VII São Cristóvão,Vasco da Gama,aprovacao,2013,100.0
VII São Cristóvão,Vasco da Gama,aprovacao,2015,100.0
VII São Cristóvão,Vasco da Gama,aprovacao,2017,99.0
VII São Cristóvão,Vasco da Gama,aprovacao,2019,99.0
VII São Cristóvão,Vasco da Gama,aprovacao,2023,96.1
VII São Cristóvão,Vasco da Gama,saeb,2007,5.12
VII São Cristóvão,Vasco da Gama,saeb,2009,6.45
VII São Cristóvão,Vasco da Gama,saeb,2011,6.779999999999999
VII São Cristóvão,Vasco da Gama,saeb,2013,6.54
VII São Cristóvão,Vasco da Gama,saeb,2015,7.0
VII São Cristóvão,Vasco da Gama,saeb,2017,6.77
VII São Cristóvão,Vasco da Gama,saeb,2019,7.12
VII São Cristóvão,Vasco da Gama,saeb,2023,6.5
VII São Cristóvão,Vasco da Gama,ideb,2007,5.0
VII São Cristóvão,Vasco da Gama,ideb,2009,6.1
VII São Cristóvão,Vasco da Gama,ideb,2011,6.5
VII São Cristóvão,Vasco da Gama,ideb,2013,6.4
VII São Cristóvão,Vasco da Gama,ideb,2015,6.7
VII São Cristóvão,Vasco da Gama,ideb,2017,6.5
VII São Cristóvão,Vasco da Gama,ideb,2019,6.9
VII São Cristóvão,Vasco da Gama,ideb,2023,6.2
XXI  Paquetá,Paquetá,aprovacao,2007,93.5
XXI  Paquetá,Paquetá,aprovacao,2009,92.7
XXI  Paquetá,Paquetá,aprovacao,2011,92.0
XXI  Paquetá,Paquetá,aprovacao,2013,94.7
XXI  Paquetá,Paquetá,aprovacao,2015,97.9
XXI  Paquetá,Paquetá,aprovacao,2017,94.4
XXI  Paquetá,Paquetá,aprovacao,2019,97.3
XXI  Paquetá,Paquetá,aprovacao,2023,95.0
XXI  Paquetá,Paquetá,saeb,2007,5.580000000000001
XXI  Paquetá,Paquetá,saeb,2009,6.23
XXI  Paquetá,Paquetá,saeb,2011,6.610000000000001
XXI  Paquetá,Paquetá,saeb,2013,5.62
XXI  Paquetá,Paquetá,saeb,2015,6.75
XXI  Paquetá,Paquetá,saeb,2017,7.38
XXI  Paquetá,Paquetá,saeb,2019,6.46
XXI  Paquetá,Paquetá,saeb,2023,5.5
XXI  Paquetá,Paquetá,ideb,2007,5.400000000000001
XXI  Paquetá,Paquetá,ideb,2009,5.7
XXI  Paquetá,Paquetá,ideb,2011,6.0
XXI  Paquetá,Paquetá,ideb,2013,5.4
XXI  Paquetá,Paquetá,ideb,2015,6.4
XXI  Paquetá,Paquetá,ideb,2017,7.0
XXI  Paquetá,Paquetá,ideb,2019,6.2
XXI  Paquetá,Paquetá,ideb,2023,5.2
XXIII Santa Teresa,Santa Teresa,aprovacao,2007,98.16037735849056
XXIII Santa Teresa,Santa Teresa,aprovacao,2009,94.51229508196721
XXIII Santa Teresa,Santa Teresa,aprovacao,2011,97.16226993865031
XXIII Santa Teresa,Santa Teresa,aprovacao,2013,95.56849315068493
XXIII Santa Teresa,Santa Teresa,aprovacao,2015,93.74405286343611
XXIII Santa Teresa,Santa Teresa,aprovacao,2017,93.68977777777778
XXIII Santa Teresa,Santa Teresa,aprovacao,2019,99.19615384615385
XXIII Santa Teresa,Santa Teresa,aprovacao,2021,97.2468330134357
XXIII Santa Teresa,Santa Teresa,aprovacao,2023,98.9
XXIII Santa Teresa,Santa Teresa,saeb,2007,5.337578616352201
XXIII Santa Teresa,Santa Teresa,saeb,2009,6.278647540983607
XXIII Santa Teresa,Santa Teresa,saeb,2011,6.489325153374233
XXIII Santa Teresa,Santa Teresa,saeb,2013,6.392739726027397
XXIII Santa Teresa,Santa Teresa,saeb,2015,6.311497797356829
XXIII Santa Teresa,Santa Teresa,saeb,2017,6.491288888888889
XXIII Santa Teresa,Santa Teresa,saeb,2019,6.660153846153846
XXIII Santa Teresa,Santa Teresa,saeb,2021,5.822915754318617
XXIII Santa Teresa,Santa Teresa,saeb,2023,6.0
XXIII Santa Teresa,Santa Teresa,ideb,2007,5.007547169811321
XXIII Santa Teresa,Santa Teresa,ideb,2009,5.702868852459017
XXIII Santa Teresa,Santa Teresa,ideb,2011,6.048159509202454
XXIII Santa Teresa,Santa Teresa,ideb,2013,5.916438356164384
XXIII Santa Teresa,Santa Teresa,ideb,2015,5.800000000000001
XXIII Santa Teresa,Santa Teresa,ideb,2017,6.141777777777778
XXIII Santa Teresa,Santa Teresa,ideb,2019,6.474615384615385
XXIII Santa Teresa,Santa Teresa,ideb,2021,5.673704414587332
XXIII Santa Teresa,Santa Teresa,ideb,2023,5.9
IV Botafogo,Botafogo,aprovacao,2007,94.91483516483517
IV Botafogo,Botafogo,aprovacao,2009,87.64320987654321
IV Botafogo,Botafogo,aprovacao,2011,97.17872340425532
IV Botafogo,Botafogo,aprovacao,2013,95.66619718309859
IV Botafogo,Botafogo,aprovacao,2015,93.04916666666666
IV Botafogo,Botafogo,aprovacao,2017,98.08627450980391
IV Botafogo,Botafogo,aprovacao,2019,95.52212389380531
IV Botafogo,Botafogo,aprovacao,2023,98.3
IV Botafogo,Botafogo,saeb,2007,4.943021978021978
IV Botafogo,Botafogo,saeb,2009,5.737222222222223
IV Botafogo,Botafogo,saeb,2011,6.34063829787234
IV Botafogo,Botafogo,saeb,2013,6.276549295774648
IV Botafogo,Botafogo,saeb,2015,6.241333333333333
IV Botafogo,Botafogo,saeb,2017,6.576470588235295
IV Botafogo,Botafogo,saeb,2019,6.327079646017699
IV Botafogo,Botafogo,saeb,2023,6.1
IV Botafogo,Botafogo,ideb,2007,4.536813186813187
IV Botafogo,Botafogo,ideb,2009,4.901851851851851
IV Botafogo,Botafogo,ideb,2011,5.725531914893618
IV Botafogo,Botafogo,ideb,2013,5.688028169014085
IV Botafogo,Botafogo,ideb,2015,5.5
IV Botafogo,Botafogo,ideb,2017,6.14313725490196
IV Botafogo,Botafogo,ideb,2019,5.928318584070796
IV Botafogo,Botafogo,ideb,2023,6.0
IV Botafogo,Catete,aprovacao,2007,100.0
IV Botafogo,Catete,aprovacao,2009,96.4
IV Botafogo,Catete,aprovacao,2011,96.3
IV Botafogo,Catete,aprovacao,2013,98.5
IV Botafogo,Catete,aprovacao,2015,97.7
IV Botafogo,Catete,aprovacao,2017,91.4
IV Botafogo,Catete,aprovacao,2019,83.3
IV Botafogo,Catete,aprovacao,2023,97.3
IV Botafogo,Catete,saeb,2007,4.7
IV Botafogo,Catete,saeb,2009,6.06
IV Botafogo,Catete,saeb,2011,5.77
IV Botafogo,Catete,saeb,2013,4.85
IV Botafogo,Catete,saeb,2015,6.22
IV Botafogo,Catete,saeb,2017,5.61
IV Botafogo,Catete,saeb,2019,6.04
IV Botafogo,Catete,saeb,2023,6.4
IV Botafogo,Catete,ideb,2007,4.3
IV Botafogo,Catete,ideb,2009,5.5
IV Botafogo,Catete,ideb,2011,5.1
IV Botafogo,Catete,ideb,2013,4.2
IV Botafogo,Catete,ideb,2015,5.7
IV Botafogo,Catete,ideb,2017,5.2
IV Botafogo,Catete,ideb,2019,5.3
IV Botafogo,Catete,ideb,2023,6.3
IV Botafogo,Flamengo,aprovacao,2007,97.93962264150943
IV Botafogo,Flamengo,aprovacao,2009,93.9959349593496
IV Botafogo,Flamengo,aprovacao,2011,97.53614457831326
IV Botafogo,Flamengo,aprovacao,2013,93.29428571428573
IV Botafogo,Flamengo,aprovacao,2015,100.0
IV Botafogo,Flamengo,aprovacao,2017,94.81680672268908
IV Botafogo,Flamengo,aprovacao,2019,99.15384615384616
IV Botafogo,Flamengo,aprovacao,2021,100.0
IV Botafogo,Flamengo,aprovacao,2023,97.2
IV Botafogo,Flamengo,saeb,2007,5.103018867924528
IV Botafogo,Flamengo,saeb,2009,6.352764227642277
IV Botafogo,Flamengo,saeb,2011,6.6173493975903614
IV Botafogo,Flamengo,saeb,2013,6.983714285714285
IV Botafogo,Flamengo,saeb,2015,6.643272727272727
IV Botafogo,Flamengo,saeb,2017,6.926638655462185
IV Botafogo,Flamengo,saeb,2019,6.8765811965811965
IV Botafogo,Flamengo,saeb,2021,6.358082997375327
IV Botafogo,Flamengo,saeb,2023,6.9
IV Botafogo,Flamengo,ideb,2007,4.686163522012579
IV Botafogo,Flamengo,ideb,2009,5.714634146341464
IV Botafogo,Flamengo,ideb,2011,6.163855421686748
IV Botafogo,Flamengo,ideb,2013,6.068571428571429
IV Botafogo,Flamengo,ideb,2015,6.1036363636363635
IV Botafogo,Flamengo,ideb,2017,6.3428571428571425
IV Botafogo,Flamengo,ideb,2019,6.555555555555555
IV Botafogo,Flamengo,ideb,2021,6.335958005249344
IV Botafogo,Flamengo,ideb,2023,6.8
IV Botafogo,Glória,aprovacao,2009,95.0
IV Botafogo,Glória,aprovacao,2023,99.6
IV Botafogo,Glória,saeb,2009,5.82
IV Botafogo,Glória,saeb,2023,6.4
IV Botafogo,Glória,ideb,2009,5.3
IV Botafogo,Glória,ideb,2023,6.4
IV Botafogo,Humaitá,aprovacao,2007,100.0
IV Botafogo,Humaitá,aprovacao,2009,83.3
IV Botafogo,Humaitá,aprovacao,2011,98.5
IV Botafogo,Humaitá,aprovacao,2013,92.2
IV Botafogo,Humaitá,aprovacao,2015,78.6
IV Botafogo,Humaitá,aprovacao,2017,86.2
IV Botafogo,Humaitá,aprovacao,2019,96.6
IV Botafogo,Humaitá,aprovacao,2023,95.1
IV Botafogo,Humaitá,saeb,2007,4.93
IV Botafogo,Humaitá,saeb,2009,6.52
IV Botafogo,Humaitá,saeb,2011,7.29
IV Botafogo,Humaitá,saeb,2013,6.8
IV Botafogo,Humaitá,saeb,2015,6.7
IV Botafogo,Humaitá,saeb,2017,7.16
IV Botafogo,Humaitá,saeb,2019,6.36
IV Botafogo,Humaitá,saeb,2023,6.7
IV Botafogo,Humaitá,ideb,2007,4.8
IV Botafogo,Humaitá,ideb,2009,5.7
IV Botafogo,Humaitá,ideb,2011,6.6
IV Botafogo,Humaitá,ideb,2013,6.4
IV Botafogo,Humaitá,ideb,2015,5.7
IV Botafogo,Humaitá,ideb,2017,6.5
IV Botafogo,Humaitá,ideb,2019,6.0
IV Botafogo,Humaitá,ideb,2023,6.3
IV Botafogo,Laranjeiras,aprovacao,2007,99.50253807106598
IV Botafogo,Laranjeiras,aprovacao,2009,95.23396226415093
IV Botafogo,Laranjeiras,aprovacao,2011,92.60330188679247
IV Botafogo,Laranjeiras,aprovacao,2013,95.69288702928871
IV Botafogo,Laranjeiras,aprovacao,2015,94.21948051948051
IV Botafogo,Laranjeiras,aprovacao,2017,92.4488888888889
IV Botafogo,Laranjeiras,aprovacao,2019,96.64835164835165
IV Botafogo,Laranjeiras,aprovacao,2021,100.0
IV Botafogo,Laranjeiras,aprovacao,2023,99.3
IV Botafogo,Laranjeiras,saeb,2007,5.385228426395939
IV Botafogo,Laranjeiras,saeb,2009,6.311509433962264
IV Botafogo,Laranjeiras,saeb,2011,6.563066037735848
IV Botafogo,Laranjeiras,saeb,2013,6.380000000000001
IV Botafogo,Laranjeiras,saeb,2015,6.326753246753246
IV Botafogo,Laranjeiras,saeb,2017,6.51
IV Botafogo,Laranjeiras,saeb,2019,6.355934065934066
IV Botafogo,Laranjeiras,saeb,2021,6.176846
IV Botafogo,Laranjeiras,saeb,2023,6.5
IV Botafogo,Laranjeiras,ideb,2007,5.221827411167513
IV Botafogo,Laranjeiras,ideb,2009,5.890566037735849
IV Botafogo,Laranjeiras,ideb,2011,6.022641509433962
IV Botafogo,Laranjeiras,ideb,2013,5.948953974895398
IV Botafogo,Laranjeiras,ideb,2015,5.845454545454546
IV Botafogo,Laranjeiras,ideb,2017,6.086666666666667
IV Botafogo,Laranjeiras,ideb,2019,6.105494505494506
IV Botafogo,Laranjeiras,ideb,2021,6.2
IV Botafogo,Laranjeiras,ideb,2023,6.5
IV Botafogo,Urca,aprovacao,2007,99.28933333333335
IV Botafogo,Urca,aprovacao,2009,93.28571428571429
IV Botafogo,Urca,aprovacao,2011,97.20283687943262
IV Botafogo,Urca,aprovacao,2013,88.6
IV Botafogo,Urca,aprovacao,2015,95.52093023255814
IV Botafogo,Urca,aprovacao,2017,93.8578947368421
IV Botafogo,Urca,aprovacao,2019,98.42538461538462
IV Botafogo,Urca,aprovacao,2021,100.0
IV Botafogo,Urca,aprovacao,2023,98.5
IV Botafogo,Urca,saeb,2007,6.0336
IV Botafogo,Urca,saeb,2009,6.798571428571429
IV Botafogo,Urca,saeb,2011,6.8731914893617025
IV Botafogo,Urca,saeb,2013,6.840000000000001
IV Botafogo,Urca,saeb,2015,7.0627906976744175
IV Botafogo,Urca,saeb,2017,6.994912280701755
IV Botafogo,Urca,saeb,2019,6.757692307692308
IV Botafogo,Urca,saeb,2021,7.007465244575936
IV Botafogo,Urca,saeb,2023,7.3
IV Botafogo,Urca,ideb,2007,5.882666666666667
IV Botafogo,Urca,ideb,2009,6.428571428571429
IV Botafogo,Urca,ideb,2011,6.70709219858156
IV Botafogo,Urca,ideb,2013,6.45
IV Botafogo,Urca,ideb,2015,6.674418604651163
IV Botafogo,Urca,ideb,2017,6.782456140350877
IV Botafogo,Urca,ideb,2019,6.678461538461539
IV Botafogo,Urca,ideb,2021,6.989546351084813
IV Botafogo,Urca,ideb,2023,7.2
V Copacabana,Copacabana,aprovacao,2007,97.93663366336634
V Copacabana,Copacabana,aprovacao,2009,92.64542772861358
V Copacabana,Copacabana,aprovacao,2011,96.65065789473685
V Copacabana,Copacabana,aprovacao,2013,96.87661538461539
V Copacabana,Copacabana,aprovacao,2015,94.65903614457831
V Copacabana,Copacabana,aprovacao,2017,92.85205479452053
V Copacabana,Copacabana,aprovacao,2019,97.36717948717948
V Copacabana,Copacabana,aprovacao,2021,98.3571072319202
V Copacabana,Copacabana,aprovacao,2023,96.7
V Copacabana,Copacabana,saeb,2007,5.768811881188118
V Copacabana,Copacabana,saeb,2009,6.39725663716814
V Copacabana,Copacabana,saeb,2011,6.864835526315789
