ap,ra,bairro,year,total_matriculas
Área de Planejamento 3,XXXI Vigário Geral,Parada de Lucas,2013,1356.0
Área de Planejamento 3,XXXI Vigário Geral,Vigário Geral,2013,4527.0
Área de Planejamento 3,XXII Anchieta,Anchieta,2013,3581.0
Área de Planejamento 3,XXII Anchieta,Guadalupe,2013,6357.0
Área de Planejamento 3,XXII Anchieta,Parque Anchieta,2013,7067.0
Área de Planejamento 3,XXII Anchieta,Ricardo de Albuquerque,2013,1573.0
Área de Planejamento 3,XXV Pavuna,Acari,2013,2439.0
Área de Planejamento 3,XXV Pavuna,Barros Filho,2013,191.0
Área de Planejamento 3,XXV Pavuna,Coelho Neto,2013,6369.0
Área de Planejamento 3,XXV Pavuna,Costa Barros,2013,2436.0
Área de Planejamento 3,XXV Pavuna,Parque Colúmbia,2013,1051.0
Área de Planejamento 3,XXV Pavuna,Pavuna,2013,15264.0
Área de Planejamento 3,XX Ilha do Governador,Bancários,2013,2364.0
Área de Planejamento 3,XX Ilha do Governador,Cacuia,2013,240.0
Área de Planejamento 3,XX Ilha do Governador,Cidade Universitária,2013,317.0
Área de Planejamento 3,XX Ilha do Governador,Freguesia,2013,666.0
Área de Planejamento 3,XX Ilha do Governador,Galeão,2013,2948.0
Área de Planejamento 3,XX Ilha do Governador,Jardim Carioca,2013,871.0
Área de Planejamento 3,XX Ilha do Governador,Jardim Guanabara,2013,1973.0
Área de Planejamento 3,XX Ilha do Governador,Moneró,2013,1649.0
Área de Planejamento 3,XX Ilha do Governador,Pitangueiras,2013,412.0
Área de Planejamento 3,XX Ilha do Governador,Portuguesa,2013,2394.0
Área de Planejamento 3,XX Ilha do Governador,Praia da Bandeira,2013,932.0
Área de Planejamento 3,XX Ilha do Governador,Tauá,2013,1402.0
Área de Planejamento 3,XX Ilha do Governador,Zumbi,2013,788.0
Área de Planejamento 4,XVI Jacarepaguá,Anil,2013,4083.0
Área de Planejamento 4,XVI Jacarepaguá,Curicica,2013,5680.0
Área de Planejamento 4,XVI Jacarepaguá,Freguesia,2013,6120.0
Área de Planejamento 4,XVI Jacarepaguá,Gardênia Azul,2013,1196.0
Área de Planejamento 4,XVI Jacarepaguá,Jacarepaguá,2013,13284.0
Área de Planejamento 4,XVI Jacarepaguá,Pechincha,2013,2178.0
Área de Planejamento 4,XVI Jacarepaguá,Praça Seca,2013,6888.0
Área de Planejamento 4,XVI Jacarepaguá,Tanque,2013,3671.0
Área de Planejamento 4,XVI Jacarepaguá,Taquara,2013,12342.0
Área de Planejamento 4,XVI Jacarepaguá,Vila Valqueire,2013,2727.0
Área de Planejamento 4,XXXIV Cidade de Deus,Cidade de Deus,2013,6891.0
Área de Planejamento 4,XXIV Barra da Tijuca,Barra da Tijuca,2013,10127.0
Área de Planejamento 4,XXIV Barra da Tijuca,Itanhangá,2013,4756.0
Área de Planejamento 4,XXIV Barra da Tijuca,Recreio dos Bandeirantes,2013,3317.0
Área de Planejamento 4,XXIV Barra da Tijuca,Vargem Grande,2013,1990.0
Área de Planejamento 4,XXIV Barra da Tijuca,Vargem Pequena,2013,2093.0
Área de Planejamento 5,XVII Bangu,Bangu,2013,37513.0
Área de Planejamento 5,XVII Bangu,Padre Miguel,2013,5789.0
Área de Planejamento 5,XVII Bangu,Senador Camará,2013,12654.0
Área de Planejamento 5,XXXIII Realengo,Campo dos Afonsos,2013,1048.0
Área de Planejamento 5,XXXIII Realengo,Deodoro,2013,1790.0
Área de Planejamento 5,XXXIII Realengo,Jardim Sulacap,2013,673.0
Área de Planejamento 5,XXXIII Realengo,Magalhães Bastos,2013,2653.0
Área de Planejamento 5,XXXIII Realengo,Realengo,2013,18325.0
Área de Planejamento 5,XXXIII Realengo,Vila Militar,2013,1554.0
Área de Planejamento 5,XVIII Campo Grande,Campo Grande,2013,45711.0
Área de Planejamento 5,XVIII Campo Grande,Cosmos,2013,11403.0
Área de Planejamento 5,XVIII Campo Grande,Inhoaíba,2013,9175.0
Área de Planejamento 5,XVIII Campo Grande,Santíssimo,2013,3179.0
Área de Planejamento 5,XVIII Campo Grande,Senador Vasconcelos,2013,2370.0
Área de Planejamento 5,XIX Santa Cruz,Paciência,2013,18196.0
Área de Planejamento 5,XIX Santa Cruz,Santa Cruz,2013,39584.0
Área de Planejamento 5,XIX Santa Cruz,Sepetiba,2013,6504.0
Área de Planejamento 5,XXVI Guaratiba,Barra de Guaratiba,2013,649.0
Área de Planejamento 5,XXVI Guaratiba,Guaratiba,2013,18818.0
Área de Planejamento 5,XXVI Guaratiba,Pedra de Guaratiba,2013,3783.0
